title,rating,duration,year,Action,Adventure,Animation,Biography,Comedy,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,RealityTV,Romance,SciFi,Thriller,War,Western
The Bling Ring ,5.4,1260,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Happy Endings The Butterfly Effect Effect ,7.2,1260,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Twenty-Eight Hits for Laughs 4th Season ,6.8,1320,2013,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top 1 Shark Movies ,7.3,1320,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Face Off Supermobile ,7.4,1320,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gravity ,7.4,1320,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orphan Black ,7.6,1320,2013,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tonight Show with Jay Leno Episode #21.214 ,7.7,1320,2013,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 3 ,6.8,1560,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Bang Theory The Convention Conundrum ,7.3,1740,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safe House ,6.3,1800,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Saving Mr. Banks ,7.1,1800,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Act of Killing ,7.5,1800,2013,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Futurama The Six Million Dollar Mon ,7.6,1800,2013,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wolf of Wall Street ,7.6,1800,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Introduction to Teaching ,7.7,1800,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Mad Fat Diary ,7.7,2160,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New in Paradise ,7,2400,2013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Race It's a Great Place to Become Millionaires ,7,2520,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Weeds - Kleine Deals unter Nachbarn Red in Tooth and Claw ,7.1,2520,2013,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Nikita Invisible Hand ,7.7,2520,2013,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Rizzoli & Isles What Doesn't Kill You ,7.5,2580,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Orange Is the New Black ,7.6,2580,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Life of Pi: Schiffbruch mit Tiger ,7.4,2640,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Workaholics True Dromance ,7.5,2640,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blackfish ,7.4,2700,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Far Cry 3: Blood Dragon ,7.4,2700,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas Buyers Club ,7.3,2760,2013,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
12 Years a Slave ,7.5,2760,2013,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Captain Phillips ,7.3,3480,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Perspectives Jonathan Ross: Alfred Hitchcock - Made in Britain ,7.3,3600,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Face Off Going for Gold ,7.4,3600,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top Gear Episode #21.5 ,7.7,3600,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Popeye the Sailor ,6.6,4500,2013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Guy Meg and Quagmire ,6.8,4500,2013,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Chasing Ice ,7.1,4500,2013,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,2.6,4800,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nostalgia Critic Digimon the Movie ,7.3,4800,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lone Survivor ,7.2,4920,2013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemlock Grove ,6.7,4980,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stranded ,3.4,5040,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Columbus Circle ,5.5,5100,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
The Cinema Snob The Legend of the Lone Ranger ,7.5,5100,2013,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sharknado ,3.3,5160,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tezz ,3.5,5160,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hookman 2 ,4.3,5160,2013,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Passion ,5,5160,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxi Brooklyn ,5,5160,2013,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Enemies - Welcome to the Punch ,5.6,5220,2013,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
The Mindy Project ,6.7,5220,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sinners ,6.1,5280,2013,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Prometheus - Dunkle Zeichen ,6.5,5280,2013,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
The 84th Annual Academy Awards ,6.9,5280,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arena Screen Goddesses ,7.6,5280,2013,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken City ,5.8,5340,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dark Skies ,5.9,5340,2013,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abducted ,4.3,5400,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Son of God ,5.2,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hit and Run ,5.7,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grabbers ,5.8,5400,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47 Ronin ,6,5400,2013,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sightseers ,6.2,5400,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Dredd ,6.4,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duck Dynasty ,6.4,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad Diary of a Wimpy Kid Icarus/Adjustment Burro ,6.5,5400,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
The Sessions - Wenn Worte berühren ,6.8,5400,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Black Ribbon ,7.1,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Half in the Bag Red Tails ,7.1,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propaganda ,7.4,5400,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Borderlands 2 ,7.6,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justified Decoy ,7.7,5400,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europa Report ,6.1,5460,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Mavericks ,6.5,5460,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marvel's The Avengers ,7.4,5460,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Jon ,6.3,5520,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animals ,5.8,5580,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saturday Night Live Lena Dunham/The National ,6.2,5580,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Dad Adventures in Hayleysitting ,6.8,5580,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reign ,7.2,5580,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
How I Met Your Mother Ring Up! ,7.3,5580,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Carrie Diaries ,6.4,5640,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Blaine: Real or Magic ,7.2,5640,2013,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Parks and Recreation Animal Control ,7.6,5640,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Oldboy ,5.3,5700,2013,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Superman: Unbound ,6.2,5700,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Neighbors ,6.2,5700,2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
World War Z ,6.5,5700,2013,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nebraska ,7.2,5700,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Cinema Snob Saturday the 14th ,7.3,5700,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Searching for Sugar Man ,7.5,5700,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Babymakers ,4.5,5760,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
R.I.P.D. ,5.3,5760,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rubinrot ,5.6,5760,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Man Down ,6.1,5760,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Pain & Gain ,6.1,5760,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Armour of God - Chinese Zodiac ,5.9,5820,2013,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
The Nostalgia Critic Heavy Metal ,6.1,5820,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Guy No Country Club for Old Men ,6.3,5820,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Chelsea Lately Episode #7.115 ,6.8,5820,2013,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Go On ,7.1,5820,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
How It Should Have Ended How Sherlock Holmes: A Game of Shadows Should Have Ended ,7.1,5820,2013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Getaway ,4.1,5880,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
21 & Over ,5.4,5880,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Battleship ,5.5,5880,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Ashens and the Quest for the Gamechild ,7,5880,2013,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Celluloid Man ,7.4,5880,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Supernatural Time After Time ,7.7,5880,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Julius Caesar ,5.3,5940,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Raven ,6.1,5940,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Nostalgia Critic When Is Something So Bad It's Good? ,6.9,5940,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
The Nostalgia Chick All Dogs Go to Heaven ,5.9,6000,2013,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
To Rome with Love ,6,6000,2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Stand Up Guys ,6.2,6000,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arbitrage ,6.2,6000,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time in Wonderland ,6.5,6000,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Factory ,5.4,6060,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robot & Frank ,6.5,6060,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqua Teen Hunger Force The Granite Family ,7,6060,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Xingu ,6.7,6120,2013,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shootout - Keine Gnade ,5.5,6180,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMG: Oh My God! ,7.4,6180,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reasonable Doubt ,5.3,6240,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Sky ,5.6,6240,2013,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Studio C ,7.6,6240,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ride Along ,5.8,6300,2013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Act of Valor ,6.1,6300,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mad The Iron Giant Lady/Raising a New Hope ,6.4,6300,2013,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Don't Say No Until I Finish Talking: The Story of Richard D. Zanuck ,6.7,6300,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sixteen ,6,6360,2013,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Community Conventions of Space and Time ,6.7,6360,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
I Know That Voice ,6.8,6360,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saturday Night Live Zooey Deschanel/Karmin ,6.9,6360,2013,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Modern Family Flip Flop ,7.1,6360,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bad Education ,7.2,6360,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liv & Ingmar ,6.4,6420,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The East ,6.4,6480,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A Story of Children and Film ,6.6,6480,2013,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locaciones: Buscando a Rusty James ,6.7,6480,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Resident Evil: Damnation ,6.2,6540,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Turks & Caicos ,6.7,6540,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Mad Real Veal/Celebrity Wife Swamp ,6.8,6540,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drinking Buddies ,5.8,6600,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Amazing Spider-Man ,6.6,6600,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cloud Atlas ,7.1,6600,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stories We Tell ,7.1,6600,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rift ,5.7,6660,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Man ,6.4,6660,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Queen of Versailles ,6.5,6720,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bad Education Christmas ,7.3,6720,2013,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Utopia ,7.6,6720,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agents of S.H.I.E.L.D. ,6.8,6780,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Red Obsession ,6.3,6840,2013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Spectacular Now ,6.8,6900,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Nostalgia Critic Is it Right to Nitpick? ,7.4,6900,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Talaash ,6.9,6960,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Place Beyond the Pines ,6.9,6960,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The After ,7.1,6960,2013,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Snow Globe Christmas ,5.4,7020,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Indie Game: The Movie ,7.2,7020,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Grandmaster ,6.2,7080,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hitchcock ,6.4,7080,2013,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L'Assenza ,6.5,7080,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Finder ,7.1,7080,2013,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Bob's Burgers O.T.: The Outside Toilet ,7.2,7080,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Comedy Central Roast of Roseanne ,6.4,7140,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saturday Night Live Christoph Waltz/Alabama Shakes ,6.5,7140,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pitch Perfect ,6.8,7140,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin & Bash Gone in a Flash ,7.3,7260,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Avengers Badly Animated Adventures ,6,7320,2013,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
The Vanger Archives ,7.1,7380,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
True Detective ,7.8,7380,2013,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Lincoln ,7,7440,2013,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Planet der Affen: Revolution ,7.7,7500,2013,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NWR ,6.8,7560,2013,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Philomena ,7.1,7560,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Computer Chess ,5.9,7680,2013,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Daily Show Scarlett Johansson ,7.6,7680,2013,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Slice and Dice: The Slasher Film Forever ,6.5,7740,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rewind This! ,6.6,7800,2013,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Man of Steel ,6.8,7800,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph reicht's ,7.2,7800,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Revolution Love Story ,7.4,7800,2013,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Helix ,6.4,7860,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Woody Allen: A Documentary ,7.1,7860,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Courier ,4.3,8220,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Adventures in the Sin Bin ,5.2,8280,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Face Off Live Reunion ,6.4,8280,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Psych True Grits ,7.5,8280,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thor - The Dark Kingdom ,6.8,8340,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Middle Leap Year ,7.1,8460,2013,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Aziz Ansari: Buried Alive ,6.7,8520,2013,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Rifftrax Live: Birdemic - Shock and Terror ,7.4,8580,2013,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Last Vegas ,6.2,8760,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fast & Furious 6 ,6.6,8940,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Men in Black 3 ,6.4,9000,2013,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Saturday Night Live Kevin Hart/Macklemore & Ryan Lewis ,6,9060,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Contraband ,6.1,9120,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scary Movie 5 ,3.4,9240,2013,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Colony ,5.1,9600,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Utopia Episode #1.1 ,7.6,9600,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Legenden der Leinwand Ava Gardner ,7.4,420,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conan This Episode Would Like You to Join It's LinkedIn Network ,7.2,1800,2014,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Cinema Snob The Devil with Hitler ,7.6,1800,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrested Development Off the Hook ,7.6,2160,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Man Standing Stud Muffin ,7.1,2400,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Frozen Ground ,6,2520,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Modern Family The Wow Factor ,7.1,2520,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Antiviral ,5.3,2580,2014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed III ,7.7,2580,2014,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Obscurus Lupa Presents The Amazing Bulk ,7.2,2640,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Castle The Lives of Others ,7.7,2700,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Queen ,7.7,3300,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
The Invisible War ,7.1,3540,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Brass Teapot ,6,3600,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teen Wolf The Girl Who Knew Too Much ,7.7,3600,2014,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ruby Sparks - Meine fabelhafte Freundin ,6.6,4680,2014,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saturday Night Live Tina Fey/Arcade Fire ,7.1,4740,2014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nostalgia Chick Supergirl ,6,4980,2014,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Crazy Ones ,6.5,5400,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saturday Night Live Jim Parsons/Beck ,5.6,5460,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
James Bond 007 - Skyfall ,7.2,5700,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleepy Hollow ,7.2,5700,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Insidious: Chapter 2 ,6.2,5940,2014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cabin in the Woods ,6.5,6060,2014,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zero Dark Thirty ,7,6120,2014,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Ninth Cloud ,5.7,6240,2014,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Man of Tai Chi ,5.7,6300,2014,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Rim ,6.5,6300,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Nostalgia Critic To Boldly Flee: Part II ,7.1,6360,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
